order_id,order_date,Year,customer_id,product_id,quantity,unit_price,discount,sales_amount
4,2024-02-09,2024,213,8,5,162,0,810
9,2024-02-13,2024,69,6,2,270,0,540
23,2024-06-22,2024,113,6,5,270,0.05,1282.5
24,2024-06-12,2024,15,10,3,124,0.15,316.2
26,2024-12-27,2024,14,14,4,109,0.05,414.2
35,2024-04-23,2024,59,11,2,712,0.05,1352.8
36,2024-03-19,2024,132,10,5,124,0.05,589
46,2024-06-03,2024,239,2,5,134,0.1,603
48,2024-01-21,2024,125,14,1,109,0.1,98.1
54,2024-05-04,2024,252,2,4,134,0.05,509.2
57,2024-04-22,2024,284,16,5,452,0.1,2034
59,2024-02-02,2024,139,2,3,134,0.1,361.8
65,2024-12-27,2024,65,9,3,774,0,2322
67,2024-07-03,2024,53,4,3,779,0.05,2220.15
68,2024-04-06,2024,246,14,1,109,0.1,98.1
80,2024-01-20,2024,241,2,1,134,0.15,113.9
92,2024-04-11,2024,266,1,1,674,0.05,640.3
100,2024-03-07,2024,212,7,5,248,0,1240
101,2024-10-24,2024,186,2,1,134,0.05,127.3
107,2024-03-05,2024,61,15,2,624,0,1248
109,2024-05-30,2024,242,10,3,124,0.15,316.2
112,2024-09-10,2024,137,11,4,712,0.1,2563.2
114,2024-01-04,2024,276,15,4,624,0.05,2371.2
116,2024-02-09,2024,165,7,5,248,0.15,1054
120,2024-08-19,2024,170,14,1,109,0.05,103.55
123,2024-04-07,2024,136,9,2,774,0,1548
142,2024-07-27,2024,147,9,5,774,0,3870
155,2024-04-15,2024,13,9,1,774,0.05,735.3
177,2024-10-03,2024,56,3,4,45,0.1,162
184,2024-09-01,2024,221,12,3,778,0.15,1983.9
189,2024-04-26,2024,35,10,3,124,0.05,353.4
202,2024-12-12,2024,111,10,1,124,0,124
203,2024-02-02,2024,175,1,4,674,0.15,2291.6
207,2024-06-12,2024,227,2,4,134,0.15,455.6
210,2024-11-28,2024,158,13,3,578,0.15,1473.9
214,2024-07-30,2024,221,13,1,578,0,578
223,2024-11-16,2024,41,14,5,109,0.15,463.25
229,2024-07-16,2024,238,8,1,162,0.05,153.9
258,2024-01-13,2024,120,6,5,270,0.1,1215
261,2024-08-21,2024,271,1,3,674,0.15,1718.7
263,2024-05-22,2024,191,3,3,45,0,135
264,2024-10-14,2024,64,8,5,162,0,810
272,2024-04-19,2024,72,13,1,578,0.1,520.2
277,2024-02-16,2024,33,5,2,301,0.15,511.7
291,2024-10-12,2024,204,15,3,624,0.1,1684.8
296,2024-07-25,2024,255,3,3,45,0.05,128.25
308,2024-01-17,2024,190,1,1,674,0.05,640.3
312,2024-10-21,2024,199,3,2,45,0.15,76.5
319,2024-09-14,2024,115,15,2,624,0.1,1123.2
322,2024-03-29,2024,283,14,5,109,0.1,490.5
324,2024-11-23,2024,211,15,4,624,0.15,2121.6
326,2024-03-23,2024,265,1,1,674,0.15,572.9
333,2024-08-20,2024,87,7,5,248,0,1240
337,2024-08-01,2024,280,4,4,779,0,3116
338,2024-06-01,2024,126,2,3,134,0.1,361.8
339,2024-02-01,2024,38,15,4,624,0.1,2246.4
349,2024-10-09,2024,240,9,2,774,0.15,1315.8
350,2024-07-30,2024,12,8,4,162,0.1,583.2
351,2024-09-01,2024,235,7,1,248,0.15,210.8
353,2024-07-20,2024,241,5,1,301,0.1,270.9
362,2024-08-10,2024,21,7,5,248,0.15,1054
371,2024-11-17,2024,195,5,4,301,0.05,1143.8
375,2024-08-17,2024,242,3,2,45,0.15,76.5
376,2024-10-25,2024,107,14,1,109,0.05,103.55
377,2024-05-13,2024,270,3,5,45,0.1,202.5
382,2024-06-25,2024,163,3,3,45,0.05,128.25
393,2024-05-02,2024,245,6,2,270,0.15,459
397,2024-07-22,2024,96,11,1,712,0.15,605.2
402,2024-02-23,2024,132,8,3,162,0.05,461.7
408,2024-01-04,2024,137,2,4,134,0.05,509.2
414,2024-02-07,2024,192,8,4,162,0.05,615.6
416,2024-11-22,2024,229,4,5,779,0,3895
418,2024-09-01,2024,104,5,1,301,0,301
422,2024-02-01,2024,68,14,4,109,0,436
423,2024-02-15,2024,289,5,5,301,0.15,1279.25
432,2024-12-06,2024,66,13,2,578,0.15,982.6
434,2024-12-18,2024,195,14,4,109,0.15,370.6
435,2024-03-01,2024,178,3,2,45,0.05,85.5
450,2024-03-11,2024,30,12,3,778,0.05,2217.3
457,2024-05-17,2024,107,13,5,578,0.05,2745.5
459,2024-05-15,2024,125,6,2,270,0,540
463,2024-03-23,2024,51,6,3,270,0.15,688.5
469,2024-08-07,2024,282,5,5,301,0.05,1429.75
470,2024-06-24,2024,252,3,3,45,0.1,121.5
477,2024-06-21,2024,9,6,5,270,0.15,1147.5
486,2024-05-03,2024,29,14,4,109,0.15,370.6
495,2024-08-13,2024,178,8,2,162,0,324
498,2024-01-20,2024,252,15,1,624,0.1,561.6
506,2024-01-13,2024,286,9,2,774,0.15,1315.8
536,2024-08-11,2024,78,10,4,124,0.15,421.6
537,2024-05-31,2024,54,5,3,301,0,903
540,2024-11-04,2024,248,16,4,452,0.05,1717.6
548,2024-01-16,2024,220,13,1,578,0.05,549.1
565,2024-06-24,2024,86,6,4,270,0.15,918
568,2024-02-17,2024,290,6,3,270,0.05,769.5
589,2024-06-10,2024,176,5,3,301,0.05,857.85
604,2024-12-12,2024,289,1,2,674,0,1348
611,2024-10-21,2024,261,5,3,301,0.05,857.85
620,2024-08-14,2024,213,4,5,779,0.1,3505.5
623,2024-09-25,2024,105,13,3,578,0,1734
638,2024-04-16,2024,187,12,2,778,0,1556
648,2024-07-13,2024,101,10,4,124,0.1,446.4
655,2024-10-29,2024,212,11,1,712,0.05,676.4
663,2024-03-23,2024,161,10,2,124,0.15,210.8
665,2024-03-12,2024,136,16,4,452,0.1,1627.2
679,2024-07-25,2024,16,16,4,452,0.15,1536.8
687,2024-06-08,2024,177,4,3,779,0.15,1986.45
711,2024-07-25,2024,73,9,5,774,0,3870
719,2024-05-17,2024,296,15,4,624,0,2496
720,2024-01-23,2024,38,3,2,45,0.05,85.5
