order_id,order_date,Year,customer_id,product_id,quantity,unit_price,discount,sales_amount
5,2023-04-22,2023,254,2,5,134,0.05,636.5
10,2023-12-18,2023,259,14,4,109,0.1,392.4
22,2023-09-13,2023,276,11,3,712,0.15,1815.6
25,2023-07-15,2023,85,6,4,270,0.1,972
39,2023-06-13,2023,102,12,5,778,0.15,3306.5
42,2023-02-26,2023,36,14,5,109,0.15,463.25
44,2023-11-11,2023,186,3,4,45,0,180
45,2023-11-19,2023,91,7,4,248,0.05,942.4
58,2023-10-09,2023,282,16,5,452,0.1,2034
64,2023-01-18,2023,92,15,3,624,0.05,1778.4
75,2023-12-19,2023,153,1,4,674,0.15,2291.6
83,2023-10-08,2023,59,10,3,124,0.05,353.4
86,2023-12-04,2023,64,12,3,778,0.1,2100.6
87,2023-07-07,2023,140,7,4,248,0.1,892.8
88,2023-11-29,2023,42,6,5,270,0.15,1147.5
89,2023-11-05,2023,166,14,5,109,0,545
97,2023-06-29,2023,282,15,4,624,0.1,2246.4
102,2023-12-16,2023,27,6,5,270,0.15,1147.5
106,2023-07-30,2023,48,3,5,45,0,225
117,2023-04-18,2023,120,6,2,270,0.05,513
128,2023-12-23,2023,86,3,1,45,0,45
130,2023-01-08,2023,192,15,1,624,0.1,561.6
145,2023-12-11,2023,18,2,1,134,0.1,120.6
147,2023-08-29,2023,90,7,3,248,0.1,669.6
148,2023-02-07,2023,272,7,2,248,0.05,471.2
154,2023-04-10,2023,191,6,3,270,0.1,729
157,2023-07-31,2023,60,4,4,779,0.1,2804.4
160,2023-05-11,2023,233,2,5,134,0.05,636.5
162,2023-07-30,2023,144,12,1,778,0.15,661.3
164,2023-01-25,2023,51,5,4,301,0.05,1143.8
173,2023-01-07,2023,122,14,2,109,0,218
180,2023-10-13,2023,56,8,4,162,0.15,550.8
183,2023-04-10,2023,272,7,3,248,0.1,669.6
186,2023-08-22,2023,174,10,4,124,0.05,471.2
187,2023-08-31,2023,49,8,4,162,0.15,550.8
209,2023-10-27,2023,57,7,1,248,0.1,223.2
211,2023-06-07,2023,29,7,1,248,0.05,235.6
215,2023-04-07,2023,273,16,2,452,0.05,858.8
218,2023-10-25,2023,294,6,1,270,0.1,243
221,2023-01-22,2023,46,14,5,109,0.15,463.25
241,2023-01-30,2023,191,13,4,578,0.05,2196.4
242,2023-08-02,2023,174,1,3,674,0.15,1718.7
