order_id,order_date,Year,customer_id,product_id,quantity,unit_price,discount,sales_amount
2,2021-03-26,,76,2,3,134,0.05,381.9
3,2021-09-29,,244,8,1,162,0,162
7,2021-06-15,,91,10,1,124,0.15,105.4
12,2021-10-09,,142,2,4,134,0.1,482.4
13,2021-09-06,,141,11,5,712,0.15,3026
17,2021-05-26,,33,9,4,774,0.05,2941.2
28,2021-01-14,,26,6,2,270,0.15,459
31,2021-10-30,,42,3,3,45,0.15,114.75
50,2021-01-14,,250,8,4,162,0.1,583.2
51,2021-11-24,,175,3,2,45,0.1,81
53,2021-09-15,,209,4,2,779,0,1558
56,2021-09-23,,157,8,2,162,0.15,275.4
60,2021-08-02,,62,14,3,109,0.1,294.3
62,2021-06-05,,248,3,2,45,0.05,85.5
69,2021-01-25,,27,4,4,779,0.1,2804.4
73,2021-10-13,,61,10,3,124,0,372
74,2021-07-13,,268,6,5,270,0.15,1147.5
81,2021-08-06,,148,10,3,124,0,372
93,2021-01-13,,300,1,4,674,0.1,2426.4
131,2021-09-27,,272,13,4,578,0.05,2196.4
133,2021-09-13,,255,15,1,624,0.15,530.4
134,2021-08-09,,237,4,5,779,0.05,3700.25
135,2021-11-11,,5,5,3,301,0.15,767.55
143,2021-06-16,,98,5,2,301,0.1,541.8
156,2021-06-25,,33,16,5,452,0.1,2034
163,2021-06-08,,228,1,1,674,0.1,606.6
169,2021-04-28,,111,11,2,712,0,1424
185,2021-05-30,,221,4,1,779,0,779
208,2021-06-01,,263,12,4,778,0.1,2800.8
222,2021-09-23,,224,15,4,624,0,2496
240,2021-10-11,,225,9,2,774,0,1548
257,2021-08-30,,228,1,4,674,0.1,2426.4
262,2021-03-28,,71,10,4,124,0.05,471.2
274,2021-06-02,,77,9,1,774,0.1,696.6
281,2021-02-06,,44,8,5,162,0.15,688.5
288,2021-01-16,,70,5,4,301,0.15,1023.4
290,2021-03-28,,22,1,2,674,0,1348
292,2021-11-03,,19,7,5,248,0.15,1054
298,2021-01-09,,280,15,1,624,0.15,530.4
313,2021-12-08,,134,10,5,124,0,620
327,2021-01-15,,67,11,3,712,0.05,2029.2
331,2021-10-23,,101,8,3,162,0,486
336,2021-05-13,,293,1,1,674,0.1,606.6
341,2021-04-15,,175,12,4,778,0.15,2645.2
345,2021-12-31,,231,8,4,162,0,648
380,2021-02-26,,127,12,5,778,0.15,3306.5
381,2021-07-10,,153,9,3,774,0.1,2089.8
387,2021-04-07,,276,4,4,779,0.05,2960.2
389,2021-09-20,,26,10,5,124,0.05,589
390,2021-08-11,,27,4,5,779,0.05,3700.25
395,2021-08-09,,274,8,1,162,0,162
401,2021-02-28,,58,13,4,578,0.1,2080.8
413,2021-06-16,,69,9,3,774,0.05,2205.9
415,2021-06-13,,127,4,4,779,0.15,2648.6
436,2021-02-11,,58,6,2,270,0.1,486
439,2021-09-29,,23,14,4,109,0,436
440,2021-08-17,,277,8,4,162,0.15,550.8
443,2021-08-28,,155,7,5,248,0.1,1116
449,2021-09-14,,116,6,5,270,0.15,1147.5
464,2021-04-12,,190,13,4,578,0.1,2080.8
468,2021-07-31,,195,8,2,162,0.1,291.6
472,2021-01-23,,278,16,2,452,0.15,768.4
480,2021-01-04,,55,12,5,778,0.15,3306.5
481,2021-09-14,,99,13,1,578,0.05,549.1
484,2021-07-14,,154,7,4,248,0.05,942.4
489,2021-05-15,,291,2,1,134,0.05,127.3
491,2021-01-04,,162,15,3,624,0,1872
510,2021-09-21,,293,4,4,779,0,3116
516,2021-03-11,,235,10,2,124,0.15,210.8
520,2021-04-02,,246,6,3,270,0.1,729
522,2021-09-19,,167,14,3,109,0.15,277.95
524,2021-01-06,,282,10,1,124,0.05,117.8
525,2021-05-08,,225,6,1,270,0.15,229.5
527,2021-09-18,,130,12,2,778,0.1,1400.4
534,2021-11-25,,114,16,1,452,0,452
544,2021-09-26,,265,5,1,301,0.05,285.95
546,2021-08-07,,208,12,4,778,0.15,2645.2
549,2021-05-29,,106,7,4,248,0,992
552,2021-12-10,,251,16,4,452,0,1808
557,2021-01-19,,192,7,3,248,0,744
561,2021-02-05,,162,12,3,778,0.05,2217.3
563,2021-03-10,,197,16,4,452,0.05,1717.6
566,2021-06-22,,150,4,1,779,0,779
567,2021-07-09,,276,10,1,124,0.1,111.6
574,2021-05-09,,180,3,1,45,0.05,42.75
578,2021-12-31,,264,3,3,45,0.1,121.5
581,2021-10-10,,202,13,2,578,0.1,1040.4
594,2021-10-22,,43,4,1,779,0.1,701.1
597,2021-05-24,,245,7,1,248,0,248
598,2021-07-15,,266,8,1,162,0.05,153.9
609,2021-10-11,,142,6,3,270,0.05,769.5
625,2021-09-04,,30,13,3,578,0.15,1473.9
639,2021-01-03,,19,1,4,674,0.05,2561.2
640,2021-07-08,,165,13,5,578,0.15,2456.5
643,2021-07-03,,265,4,1,779,0.05,740.05
650,2021-08-12,,278,1,4,674,0,2696
659,2021-12-05,,162,3,2,45,0.1,81
667,2021-05-30,,168,9,5,774,0,3870
668,2021-10-13,,183,6,2,270,0,540
691,2021-08-11,,82,12,5,778,0.1,3501
692,2021-09-14,,137,1,1,674,0.05,640.3
693,2021-06-17,,295,5,5,301,0,1505
696,2021-02-10,,253,13,3,578,0.05,1647.3
707,2021-07-03,,90,11,5,712,0.1,3204
712,2021-09-01,,178,11,3,712,0,2136
714,2021-12-22,,108,14,4,109,0,436
732,2021-03-28,,50,15,3,624,0.15,1591.2
736,2021-01-27,,190,5,1,301,0.15,255.85
737,2021-02-03,,229,12,4,778,0.1,2800.8
741,2021-07-20,,284,1,3,674,0.15,1718.7
743,2021-08-23,,244,16,5,452,0.15,1921
746,2021-05-17,,99,6,2,270,0.05,513
768,2021-02-28,,103,6,1,270,0.05,256.5
770,2021-03-26,,141,15,1,624,0.1,561.6
772,2021-09-17,,191,3,1,45,0,45
777,2021-07-11,,106,7,2,248,0.05,471.2
780,2021-07-05,,130,16,5,452,0,2260
794,2021-01-11,,151,15,3,624,0.05,1778.4
797,2021-07-03,,158,3,2,45,0.1,81
807,2021-05-07,,87,12,4,778,0.1,2800.8
